intptlat,intptlong,zcta5
42.13246155,-71.05401611,2322
41.97238541,-70.97877502,2324
41.87517929,-70.74671173,2330
42.04432297,-70.70606995,2332
42.03727722,-70.94046021,2333
42.00263214,-70.8637085,2338
42.12295532,-70.85630798,2339
42.05046463,-70.86741638,2341
42.14034653,-70.99786377,2343
41.87800217,-70.86927032,2346
41.83441162,-70.95716095,2347
42.1199646,-70.95721436,2351
42.06053162,-71.11967468,2356
42.05497742,-71.08065033,2357
42.06780243,-70.80570984,2359
41.882061,-70.63128662,2360
41.98719788,-70.74194336,2364
41.85098267,-70.65498352,2366
41.95909882,-70.80274963,2367
42.17644501,-71.05156708,2368
42.1303978,-70.91061401,2370
42.00565338,-71.07801819,2375
42.02161789,-71.02671814,2379
42.07897568,-70.93939209,2382
42.45705414,-71.21546173,2420
42.43854523,-71.23957062,2421
42.32548141,-71.13504791,2445
42.34349823,-71.12224579,2446
42.39782333,-71.25569916,2451
42.39271927,-71.21353149,2452
42.36954117,-71.24051666,2453
42.29938889,-71.27423859,2457
42.35358429,-71.18819427,2458
42.31477737,-71.1920166,2459
42.35182571,-71.20848846,2460
42.31736374,-71.20650482,2461
42.32870865,-71.25589752,2462
42.31297684,-71.2188797,2464
42.34891129,-71.22633362,2465
42.34445572,-71.24861908,2466
42.31431961,-71.15277863,2467
42.32855225,-71.22953033,2468
42.36944962,-71.17792511,2472
42.42094803,-71.15637207,2474
42.41563797,-71.17566681,2476
42.39531708,-71.18028259,2478
42.31194687,-71.27552032,2481
42.29309845,-71.29853821,2482
42.27602768,-71.24454498,2492
42.36050034,-71.30343628,2493
42.29949188,-71.23252106,2494
41.75175858,-70.59754944,2532
41.6689415,-70.61940765,2534
41.33795929,-70.76167297,2535
41.59630585,-70.56746674,2536
41.72842026,-70.43580627,2537
41.77736282,-70.64222717,2538
41.37765503,-70.52207947,2539
41.57387924,-70.63204956,2540
41.70783997,-70.54551697,2542
41.47897339,-70.76691437,2543
41.71252441,-70.62075043,2553
41.29107285,-70.09333038,2554
41.63944626,-70.62451172,2556
41.44171143,-70.57614136,2557
41.74501801,-70.65351105,2558
41.69024277,-70.6162796,2559
41.76673889,-70.54059601,2561
41.78720856,-70.52671814,2562
